ID,Grade Level,Title (Raw Strings),Title (Clean),Salary (Minimum),Salary (Increment),Salary (Maximum),Reference,Effective Date (YYYY-MM-DD)
MMR_CIVSRVT_0088,4,အတိုင်ပင်ခံအထူးကုဆရာဝန်ကြီး,အတိုင်ပင်ခံအထူးကုဆရာဝန်ကြီး," 341,000 "," 4,000 "," 361,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0089,4,ဒု-အင်ဂျင်နီယာချုပ်,ဒုတိယအင်ဂျင်နီယာချုပ်," 341,000 "," 4,000 "," 361,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0090,4,ဒု-မြို့ပြအင်ဂျင်နီယာချုပ်,ဒုတိယမြို့ပြအင်ဂျင်နီယာချုပ်," 341,000 "," 4,000 "," 361,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0091,4,အင်ဂျင်နီယာမှူးကြီး,အင်ဂျင်နီယာမှူးကြီး," 341,000 "," 4,000 "," 361,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0092,4,ဒု-အင်ဂျင်နီယာမှူးကြီး,ဒုတိယအင်ဂျင်နီယာမှူးကြီး," 341,000 "," 4,000 "," 361,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0093,4,စက်ရုံမှူး,စက်ရုံမှူး," 341,000 "," 4,000 "," 361,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0094,4,ဒု-စက်ရုံမှူး,ဒုတိယစက်ရုံမှူး," 341,000 "," 4,000 "," 361,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0095,4,လက်ထောက်စက်ရုံမှူး,လက်ထောက်စက်ရုံမှူး," 341,000 "," 4,000 "," 361,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0096,4,ဒု-ရေကြောင်းဌာနမှူးချုပ်,ဒုတိယရေကြောင်းဌာနမှူးချုပ်," 341,000 "," 4,000 "," 361,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0097,4,ရေယာဉ်အင်ဂျင်နီယာ,ရေယာဉ်အင်ဂျင်နီယာ," 341,000 "," 4,000 "," 361,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0098,4,ရေယာဉ်မှူးကြီး,ရေယာဉ်မှူးကြီး," 341,000 "," 4,000 "," 361,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0099,4,ဒု-ရေယာဉ်မှူးကြီး,ဒုတိယရေယာဉ်မှူးကြီး," 341,000 "," 4,000 "," 361,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0100,4,ဆိပ်ကမ်းအရာရှိ,ဆိပ်ကမ်းအရာရှိ," 341,000 "," 4,000 "," 361,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
