sd_pcode,state_divi,d_pcode,district,ts_pcode,township,town_pcode,town,town_mmr4,longitude,latitude,level,air_bool,ctrl_tnla,ctrl_mndaa,ctrl_uwsa
MMR013,Yangon,MMR013D003,Yangon (South),MMR013024,Kyauktan,MMR013024702,Tadar,တံတား,16.64788,96.53949,Other Town,0,0,0,0
MMR013,Yangon,MMR013D001,Yangon (North),MMR013005,Taikkyi,MMR013005701,Taikkyi,တိုက်ကြီး,17.31263,95.96344,Main Town,0,0,0,0
MMR005,Sagaing,MMR005D006,Tamu,MMR005030,Tamu,MMR005030701,Tamu,တမူး,24.21149,94.31534,District Capital,0,0,0,0
MMR001,Kachin,MMR001D001,Myitkyina,MMR001004,Tanai,MMR001004701,Tanai,တနိုင်း,26.35797,96.71655,Main Town,0,0,0,0
MMR006,Tanintharyi,MMR006D002,Myeik,MMR006008,Tanintharyi,MMR006008701,Tanintharyi,တနင်္သာရီ,12.08940526,99.01277649,Main Town,0,0,0,0
MMR008,Bago (West),MMR008D002,Thayarwady,MMR008012,Nattalin,MMR008012702,Tar Pun,တာပွန်,18.361,95.4549,Other Town,0,0,0,0
MMR016,Shan (East),MMR016D003,Tachileik,MMR016009,Tachileik,MMR016009703,Tarlay,တာလေ,20.71261925,100.0930691,Other Town,0,0,0,0
MMR012,Rakhine,MMR012D003,Kyaukpyu,MMR012014,Ann,MMR012014702,Tat Taung,တပ်တောင်,19.5682,93.9358,Other Town,0,0,0,0
MMR018,Nay Pyi Taw,MMR018D001,Oke Ta Ra,MMR018003,Tatkon,MMR018003701,Tatkon,တပ်ကုန်း,20.13041,96.20297,Main Town,0,0,0,0
MMR009,Magway,MMR009D001,Magway,MMR009004,Taungdwingyi,MMR009004701,Taungdwingyi,တောင်တွင်းကြီး,20.00187,95.54614,Main Town,0,0,0,0
